input	lexeme	candidate	obs.prob	tab.prob	beA	beB
word1	A	A	1	2	0	1
word1	A	B	0	2	1	0
word2	A	A	1	8229	0	1
word2	A	B	0	8229	1	0
word3	A	A	1	31	0	1
word3	A	B	0	31	1	0
word4	A	A	1	3	0	1
word4	A	B	0	3	1	0
word5	A	A	1	1	0	1
word5	A	B	0	1	1	0
word6	A	A	1	1	0	1
word6	A	B	0	1	1	0
word7	A	A	1	268	0	1
word7	A	B	0	268	1	0
word8	A	A	1	5	0	1
word8	A	B	0	5	1	0
word9	A	A	1	2	0	1
word9	A	B	0	2	1	0
word10	A	A	1	12	0	1
word10	A	B	0	12	1	0
word11	A	A	1	10	0	1
word11	A	B	0	10	1	0
word12	A	A	1	1129	0	1
word12	A	B	0	1129	1	0
word13	A	A	1	5	0	1
word13	A	B	0	5	1	0
word14	A	A	1	6253	0	1
word14	A	B	0	6253	1	0
word15	A	A	1	13	0	1
word15	A	B	0	13	1	0
word16	A	A	1	63	0	1
word16	A	B	0	63	1	0
word17	A	A	1	7	0	1
word17	A	B	0	7	1	0
word18	A	A	1	3	0	1
word18	A	B	0	3	1	0
word19	A	A	1	3	0	1
word19	A	B	0	3	1	0
word20	A	A	1	18	0	1
word20	A	B	0	18	1	0
word21	A	A	1	31	0	1
word21	A	B	0	31	1	0
word22	A	A	1	69	0	1
word22	A	B	0	69	1	0
word23	A	A	1	2	0	1
word23	A	B	0	2	1	0
word24	A	A	1	2	0	1
word24	A	B	0	2	1	0
word25	A	A	1	2	0	1
word25	A	B	0	2	1	0
word26	A	A	1	3	0	1
word26	A	B	0	3	1	0
word27	A	A	1	4	0	1
word27	A	B	0	4	1	0
word28	A	A	1	3	0	1
word28	A	B	0	3	1	0
word29	A	A	1	2	0	1
word29	A	B	0	2	1	0
word30	A	A	1	97	0	1
word30	A	B	0	97	1	0
word31	A	A	1	1	0	1
word31	A	B	0	1	1	0
word32	A	A	1	402	0	1
word32	A	B	0	402	1	0
word33	A	A	1	1	0	1
word33	A	B	0	1	1	0
word34	A	A	1	19	0	1
word34	A	B	0	19	1	0
word35	A	A	1	122	0	1
word35	A	B	0	122	1	0
word36	A	A	1	4	0	1
word36	A	B	0	4	1	0
word37	A	A	1	2	0	1
word37	A	B	0	2	1	0
word38	A	A	1	18	0	1
word38	A	B	0	18	1	0
word39	A	A	1	5	0	1
word39	A	B	0	5	1	0
word40	A	A	1	1	0	1
word40	A	B	0	1	1	0
word41	A	A	1	382	0	1
word41	A	B	0	382	1	0
word42	A	A	1	29	0	1
word42	A	B	0	29	1	0
word43	A	A	1	1	0	1
word43	A	B	0	1	1	0
word44	A	A	1	3941	0	1
word44	A	B	0	3941	1	0
word45	A	A	1	16	0	1
word45	A	B	0	16	1	0
word46	A	A	1	8834	0	1
word46	A	B	0	8834	1	0
word47	A	A	1	37	0	1
word47	A	B	0	37	1	0
word48	A	A	1	176	0	1
word48	A	B	0	176	1	0
word49	A	A	1	8	0	1
word49	A	B	0	8	1	0
word50	A	A	1	242	0	1
word50	A	B	0	242	1	0
word51	A	A	1	5	0	1
word51	A	B	0	5	1	0
word52	A	A	1	1	0	1
word52	A	B	0	1	1	0
word53	A	A	1	1	0	1
word53	A	B	0	1	1	0
word54	A	A	1	1	0	1
word54	A	B	0	1	1	0
word55	A	A	1	4	0	1
word55	A	B	0	4	1	0
word56	A	A	1	4	0	1
word56	A	B	0	4	1	0
word57	A	A	1	20	0	1
word57	A	B	0	20	1	0
word58	A	A	1	21	0	1
word58	A	B	0	21	1	0
word59	A	A	1	31	0	1
word59	A	B	0	31	1	0
word60	A	A	1	163	0	1
word60	A	B	0	163	1	0
word61	A	A	1	16	0	1
word61	A	B	0	16	1	0
word62	A	A	1	2	0	1
word62	A	B	0	2	1	0
word63	A	A	1	17	0	1
word63	A	B	0	17	1	0
word64	A	A	1	3	0	1
