	syllabic	stress	long	consonantal	sonorant	continuous	delayedRelease	approximant	tap	trill	nasal	voice	spreadGlottis	constrictedGlottis	labial	round	labioDental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense
T	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	x	x	x	x	x
Z	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	x	x	x	x	x
H	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	x	x	x	0	1	1	0	0	1	1
S	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	x	x	x	x	x
r	0	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x
g	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	1	0	x	x	x
G	0	0	0	1	1	0	x	0	0	0	1	1	0	0	0	0	0	0	x	x	x	0	1	1	0	x	x	x
z	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	x	x	x	x	x
w	0	0	0	0	1	1	x	1	0	0	0	1	0	0	1	1	0	0	x	x	x	0	1	1	0	0	1	1
v	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	x	x	x	0	0	x	x	x	x	x
C	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	x	x	x	x	x
t	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	x	x	x	x	x
s	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	x	x	x	x	x
p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	x	x	x	0	0	x	x	x	x	x
n	0	0	0	1	1	0	x	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	x	x	x	x	x
m	0	0	0	1	1	0	x	0	0	0	1	1	0	0	1	0	0	0	x	x	x	0	0	x	x	x	x	x
l	0	0	0	1	1	1	x	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	x	x	x	x	x
k	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	x	x	0	1	1	0	x	x	x
y	0	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	1	0	1	0	1
h	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	x	x	x	0	0	x	x	x	x	x
f	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	x	x	x	0	0	x	x	x	x	x
D	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	x	x	x	x	x
J	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	x	x	x	x	x
d	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	x	x	x	x	x
b	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	x	x	x	0	0	x	x	x	x	x
@	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	0	1	1	0	x
A	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	0	0	0	1	0
U	1	0	0	0	1	1	x	1	0	0	0	1	0	0	1	1	0	0	x	x	x	0	1	1	0	0	1	0
I	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	1	0	1	0	0
E	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	0	0	1	0	0
R	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
x	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	0	0	0	0	0
c	1	0	0	0	1	1	x	1	0	0	0	1	0	0	1	1	0	0	x	x	x	0	1	0	0	0	1	0
a	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	0	1	0	1	x
u	1	0	0	0	1	1	x	1	0	0	0	1	0	0	1	1	0	0	x	x	x	0	1	1	0	0	1	1
o	1	0	0	0	1	1	x	1	0	0	0	1	0	0	1	1	0	0	x	x	x	0	1	0	0	0	1	1
i	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	1	0	1	0	1
e	1	0	0	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	0	0	1	0	1
O	1	0	1	0	1	1	x	1	0	0	0	1	0	0	1	1	0	0	x	x	x	0	1	1	0	1	1	1
Y	1	0	1	0	1	1	x	1	0	0	0	1	0	0	0	0	0	0	x	x	x	0	1	1	1	1	0	1
W	1	0	1	0	1	1	x	1	0	0	0	1	0	0	0	1	0	0	x	x	x	0	1	1	1	0	1	1
