input	lexeme	candidate	obs.prob	tab.prob	*voice	*voiceFinal	*VTV
pab1	pap	pab	0	1	1	1	0
pab1	pap	pap	1	1	0	0	0
pab2	pap	pab	0	1	1	1	0
pab2	pap	pap	1	1	0	0	0
pab3	pap	pab	0	1	1	1	0
pab3	pap	pap	1	1	0	0	0
pab4	pap	pab	0	1	1	1	0
pab4	pap	pap	1	1	0	0	0
pab5	pap	pab	0	1	1	1	0
pab5	pap	pap	1	1	0	0	0
pab6	pap	pab	0	1	1	1	0
pab6	pap	pap	1	1	0	0	0
pab7	pap	pab	0	1	1	1	0
pab7	pap	pap	1	1	0	0	0
pab8	pap	pab	0	1	1	1	0
pab8	pap	pap	1	1	0	0	0
pab9	pap	pab	0	1	1	1	0
pab9	pap	pap	1	1	0	0	0
pab10	pap	pab	0	1	1	1	0
pab10	pap	pap	1	1	0	0	0
pab11	pap	pab	0	1	1	1	0
pab11	pap	pap	1	1	0	0	0
pab12	pap	pab	0	1	1	1	0
pab12	pap	pap	1	1	0	0	0
pab13	pap	pab	0	1	1	1	0
pab13	pap	pap	1	1	0	0	0
pab14	pap	pab	0	1	1	1	0
pab14	pap	pap	1	1	0	0	0
pab15	pap	pab	0	1	1	1	0
pab15	pap	pap	1	1	0	0	0
pab16	pap	pab	0	1	1	1	0
pab16	pap	pap	1	1	0	0	0
pab17	pap	pab	0	1	1	1	0
pab17	pap	pap	1	1	0	0	0
pab18	pap	pab	0	1	1	1	0
pab18	pap	pap	1	1	0	0	0
pab19	pap	pab	0	1	1	1	0
pab19	pap	pap	1	1	0	0	0
pab20	pap	pab	0	1	1	1	0
pab20	pap	pap	1	1	0	0	0
pab21	pab	pab	1	1	1	1	0
pab21	pab	pap	0	1	0	0	0
pab22	pab	pab	1	1	1	1	0
pab22	pab	pap	0	1	0	0	0
pab23	pab	pab	1	1	1	1	0
pab23	pab	pap	0	1	0	0	0
pab24	pab	pab	1	1	1	1	0
pab24	pab	pap	0	1	0	0	0
pab25	pab	pab	1	1	1	1	0
pab25	pab	pap	0	1	0	0	0
pab26	pab	pab	1	1	1	1	0
pab26	pab	pap	0	1	0	0	0
pab27	pab	pab	1	1	1	1	0
pab27	pab	pap	0	1	0	0	0
pab28	pab	pab	1	1	1	1	0
pab28	pab	pap	0	1	0	0	0
pab29	pab	pab	1	1	1	1	0
pab29	pab	pap	0	1	0	0	0
pab30	pab	pab	1	1	1	1	0
pab30	pab	pap	0	1	0	0	0
pab1_a	pap_a	pab_a	0	1	1	0	0
pab1_a	pap_a	pap_a	1	1	0	0	1
pab2_a	pap_a	pab_a	0	1	1	0	0
pab2_a	pap_a	pap_a	1	1	0	0	1
pab3_a	pap_a	pab_a	0	1	1	0	0
pab3_a	pap_a	pap_a	1	1	0	0	1
pab4_a	pap_a	pab_a	0	1	1	0	0
pab4_a	pap_a	pap_a	1	1	0	0	1
pab5_a	pap_a	pab_a	0	1	1	0	0
pab5_a	pap_a	pap_a	1	1	0	0	1
pab6_a	pap_a	pab_a	0	1	1	0	0
pab6_a	pap_a	pap_a	1	1	0	0	1
pab7_a	pap_a	pab_a	0	1	1	0	0
pab7_a	pap_a	pap_a	1	1	0	0	1
pab8_a	pap_a	pab_a	0	1	1	0	0
pab8_a	pap_a	pap_a	1	1	0	0	1
pab9_a	pap_a	pab_a	0	1	1	0	0
pab9_a	pap_a	pap_a	1	1	0	0	1
pab10_a	pap_a	pab_a	0	1	1	0	0
pab10_a	pap_a	pap_a	1	1	0	0	1
pab11_a	pap_a	pab_a	1	1	1	0	0
pab11_a	pap_a	pap_a	0	1	0	0	1
pab12_a	pap_a	pab_a	1	1	1	0	0
pab12_a	pap_a	pap_a	0	1	0	0	1
pab13_a	pap_a	pab_a	1	1	1	0	0
pab13_a	pap_a	pap_a	0	1	0	0	1
pab14_a	pap_a	pab_a	1	1	1	0	0
pab14_a	pap_a	pap_a	0	1	0	0	1
pab15_a	pap_a	pab_a	1	1	1	0	0
pab15_a	pap_a	pap_a	0	1	0	0	1
pab16_a	pap_a	pab_a	1	1	1	0	0
pab16_a	pap_a	pap_a	0	1	0	0	1
pab17_a	pap_a	pab_a	1	1	1	0	0
pab17_a	pap_a	pap_a	0	1	0	0	1
pab18_a	pap_a	pab_a	1	1	1	0	0
pab18_a	pap_a	pap_a	0	1	0	0	1
pab19_a	pap_a	pab_a	1	1	1	0	0
pab19_a	pap_a	pap_a	0	1	0	0	1
pab20_a	pap_a	pab_a	1	1	1	0	0
pab20_a	pap_a	pap_a	0	1	0	0	1
pab21_a	pap_a	pab_a	1	1	1	0	0
pab21_a	pap_a	pap_a	0	1	0	0	1
pab22_a	pap_a	pab_a	1	1	1	0	0
pab22_a	pap_a	pap_a	0	1	0	0	1
pab23_a	pap_a	pab_a	1	1	1	0	0
pab23_a	pap_a	pap_a	0	1	0	0	1
pab24_a	pap_a	pab_a	1	1	1	0	0
pab24_a	pap_a	pap_a	0	1	0	0	1
pab25_a	pap_a	pab_a	1	1	1	0	0
pab25_a	pap_a	pap_a	0	1	0	0	1
pab26_a	pap_a	pab_a	1	1	1	0	0
pab26_a	pap_a	pap_a	0	1	0	0	1
pab27_a	pap_a	pab_a	1	1	1	0	0
pab27_a	pap_a	pap_a	0	1	0	0	1
pab28_a	pap_a	pab_a	1	1	1	0	0
pab28_a	pap_a	pap_a	0	1	0	0	1
pab29_a	pap_a	pab_a	1	1	1	0	0
pab29_a	pap_a	pap_a	0	1	0	0	1
pab30_a	pap_a	pab_a	1	1	1	0	0
pab30_a	pap_a	pap_a	0	1	0	0	1
