lexemes 	 segments 	 listed_at_timestep
ag1_a	aga	32
ad2_a	ada	55
ab7_a	aba	73
at10_a	ata	126
ab2_a	aba	133
ag4_a	aga	158
ag6_a	aka	181
ab7_a	aba	185
ab8_a	aba	192
aq4_a	aqa	214
ad7_a	ada	342
aq1_a	aGa	363
aq5_a	aqa	368
ad5_a	ada	400
aq6_a	aqa	452
aq10_a	aqa	581
ab5_a	aba	613
ab9_a	aba	664
aj3_a	aja	831
ad3_a	ada	877
aq2_a	aGa	879
ag4_a	aga	962
aj2_a	aja	1028
aj8_a	aca	1127
at10_a	ata	1142
ab1_a	aba	1145
ag5_a	aga	1183
at10_a	ata	1322
ab3_a	aba	1433
aj10_a	aca	1745
aq8_a	aqa	1905
ag6_a	aka	1953
aj1_a	aja	1967
ab3_a	aba	2127
ag1_a	aga	2132
ad2_a	ada	2159
ag6_a	aka	2355
at10_a	ata	2559
aj1_a	aja	2614
aq2_a	aGa	2621
ad8_a	ada	2730
aq9_a	aqa	2894
ag10_a	aka	2919
at9_a	ata	2936
ad7_a	ada	3285
ag7_a	aka	3645
ad1_a	ada	3713
aj10_a	aca	4033
aq4_a	aqa	4362
ad2_a	ada	5447
aj5_a	aja	5608
aj9_a	aca	6189
ad8_a	ada	6247
ap10_a	apa	6692
ag4_a	aga	7688
ab8_a	aba	7998
ag8_a	aka	8120
ab2_a	aba	9071
aj9_a	aca	9779
ag6_a	aka	10039
aj5_a	aja	10468
at9_a	ata	10816
ap10_a	apa	11802
ab7_a	aba	12158
aj5_a	aja	13076
aj5_a	aja	14045
ab9_a	aba	15971
ab5_a	aba	16486
aq2_a	aGa	17174
aq3_a	aqa	18892
aq5_a	aqa	19767
at10_a	ata	19775
ag10_a	aka	20136
aj4_a	aja	23328
ag3_a	aga	26208
aj9_a	aca	26225
at10_a	ata	30883
aq8_a	aqa	39652
aq2_a	aGa	49037
at9_a	ata	51529
ag8_a	aka	65297
ag1_a	aga	67097
ag9_a	aka	67772
ag2_a	aga	68142
ag2_a	aga	76532
